,Country,porksupply,chickensupply,beefsupply,lambsupply,fishsupply,eggsupply,milkcheesesupply,wheatprodsupply,ricesupply,soybeansupply,nutssupply,totalco2
43,New Caledonia,19.9,44.36,16.07,1.95,19.38,8.85,108.0,81.75,17.47,0.55,2.96,918.5999999999999
44,South Africa,4.16,37.57,18.03,4.28,5.56,7.21,55.75,60.13,17.41,1.27,1.04,892.41
45,Barbados,8.3,42.62,13.13,4.08,37.41,9.61,110.48,65.71,15.66,0.1,4.16,889.11
46,Lithuania,45.67,26.84,4.49,0.24,42.39,13.11,295.46,121.59,3.07,0.02,2.13,868.91
47,Turkey,0.01,18.78,11.64,4.68,5.58,8.2,193.94,169.96,10.74,1.71,7.97,897.01
48,Estonia,29.68,21.11,7.19,0.44,12.78,12.66,284.85,89.36,2.56,0.04,4.29,830.7099999999999
49,Mexico,15.23,30.12,15.33,0.89,7.56,18.34,111.87,35.21,5.64,0.02,2.51,797.13
50,Costa Rica,10.28,24.47,15.23,0.02,11.32,10.55,183.28,39.31,45.69,1.54,1.38,891.27
51,Bolivia,8.89,34.31,19.78,1.72,2.18,5.18,46.04,49.99,26.99,0.01,9.16,873.03
52,Ecuador,14.44,21.85,16.61,0.44,5.17,8.01,139.6,39.19,45.07,0.0,0.98,883.88
53,Panama,13.48,30.81,20.4,0.01,11.05,4.53,70.29,38.96,66.42,3.53,1.05,928.46
54,Czech Republic,41.17,19.09,8.15,0.34,8.25,11.66,195.2,92.67,4.79,0.82,2.47,760.0899999999999
55,Romania,25.31,15.38,4.78,3.41,6.07,12.94,238.33,134.87,2.59,0.01,1.8,766.3000000000001
56,Colombia,6.51,27.57,16.36,0.21,6.01,10.78,108.47,29.79,28.02,0.89,0.42,781.53
57,Maldives,1.22,18.47,9.44,0.7,179.71,10.79,111.47,77.77,50.73,0.2,15.83,903.46
58,Cyprus,38.38,24.45,5.79,5.05,14.86,8.98,113.31,83.25,4.94,0.04,4.6,741.36
59,Serbia,32.04,10.64,7.05,3.56,5.59,8.89,148.53,105.88,1.22,0.0,3.31,723.32
60,United Arab Emirates,0.0,41.04,5.64,9.08,20.41,8.23,132.66,101.29,56.25,0.08,23.03,897.3100000000001
61,Algeria,0.0,7.42,5.6,7.69,3.74,8.06,141.53,185.42,2.97,0.0,2.08,707.89
62,Ukraine,20.56,24.23,8.96,0.41,15.23,18.01,145.03,105.15,3.0,0.02,2.68,665.73
63,Pakistan,0.0,5.01,8.82,2.46,1.87,2.95,183.13,113.63,12.25,0.0,0.83,669.05
64,Swaziland,2.43,6.18,15.1,1.94,1.26,1.5,56.6,37.15,21.15,0.55,6.44,678.9399999999999
65,Latvia,34.96,20.53,5.11,0.34,21.3,14.03,174.11,72.13,2.21,0.04,3.78,633.5699999999999
66,Bosnia and Herzegovina,9.38,13.17,9.12,0.47,4.06,4.49,174.03,93.56,1.88,1.48,2.0,628.1800000000001
67,Fiji,4.31,20.26,8.96,5.9,35.01,6.44,40.2,84.22,45.62,0.3,1.3,716.08
68,South Korea,32.76,16.0,14.53,0.14,33.09,11.24,29.05,50.84,85.18,8.35,4.88,822.0500000000001
69,Poland,46.19,27.41,2.32,0.02,10.49,7.53,205.39,108.83,0.95,0.06,2.23,607.3900000000001
70,Saudi Arabia,0.0,49.05,6.45,6.54,11.99,5.37,83.65,89.47,36.02,0.05,3.23,692.88
71,Botswana,0.74,5.33,7.85,3.76,3.98,1.95,117.74,38.2,7.06,1.16,1.08,576.86
72,Macedonia,10.35,18.77,7.69,0.94,5.47,6.38,157.93,104.8,2.81,0.46,5.87,600.7399999999999
73,Hungary,34.93,23.78,4.96,0.11,4.93,12.45,159.05,109.98,2.15,0.01,0.64,576.8100000000001
74,Trinidad and Tobago,8.92,58.27,6.13,2.79,20.54,4.2,103.8,90.17,16.38,0.04,3.78,610.41
75,Tunisia,0.0,18.5,5.53,5.34,12.63,7.67,114.47,197.5,1.07,1.88,6.34,618.89
76,Egypt,0.02,14.43,12.88,1.58,21.46,4.59,59.46,146.83,39.77,0.64,1.82,673.93
77,Mauritius,4.08,38.51,5.99,4.08,19.66,6.32,117.27,114.02,45.56,0.3,2.33,672.0699999999999
78,Bulgaria,26.26,20.68,3.84,1.63,6.24,8.36,155.71,121.17,2.24,0.04,2.26,560.16
79,Morocco,0.01,20.77,8.04,4.36,17.44,6.68,54.68,179.7,1.1,0.0,3.23,576.39
80,Slovakia,31.78,15.13,5.19,0.16,8.39,16.05,143.14,123.62,2.88,0.02,3.7,560.34
81,Niger,0.09,1.08,8.97,4.17,2.7,0.3,58.92,4.79,13.17,0.0,6.95,542.8900000000001
82,Kenya,0.29,0.47,9.54,1.86,4.27,1.84,94.86,34.65,12.94,0.2,1.64,530.84
83,Jordan,0.02,33.39,5.61,5.68,5.13,3.92,77.68,136.74,19.67,0.02,3.56,587.96
84,Japan,20.62,19.42,9.15,0.14,31.1,19.15,72.06,45.04,59.85,7.34,2.59,644.06
85,Georgia,8.93,12.28,6.04,0.63,10.42,6.12,149.26,163.43,2.64,0.0,2.47,527.03
86,Grenada,11.52,43.51,3.46,1.25,27.95,10.34,86.88,59.59,9.56,0.01,0.18,439.85
87,El Salvador,3.23,19.84,5.95,0.02,6.25,9.51,124.34,28.19,10.53,0.8,1.1,434.03000000000003
88,Cuba,19.82,20.15,6.39,1.24,4.76,9.82,99.94,54.62,67.7,6.34,0.23,591.69
89,China,38.43,13.2,5.12,3.13,21.01,18.76,32.66,63.36,78.18,3.66,6.39,640.2
90,Honduras,6.48,20.29,7.19,0.04,2.7,5.19,91.33,37.36,14.42,0.01,0.75,434.08000000000004
91,Taiwan. ROC,39.37,32.13,5.21,0.92,18.29,13.08,41.72,50.92,45.85,16.95,9.06,559.55
92,Angola,8.89,17.33,8.42,1.08,15.24,1.11,12.3,40.72,8.12,0.52,2.26,412.99
93,Jamaica,3.99,52.51,3.97,1.26,21.95,2.27,91.13,70.67,23.45,0.0,1.82,450.81
94,Namibia,4.21,12.19,3.75,2.27,10.7,1.63,73.05,36.26,6.31,0.07,0.71,362.12
95,Belize,16.8,28.31,4.86,0.14,7.57,4.85,80.3,54.06,28.42,1.88,5.58,433.07
96,Malaysia,7.76,41.01,6.52,0.94,49.43,16.57,25.28,51.04,81.25,0.04,2.9,554.64
97,Zimbabwe,2.65,4.97,7.37,0.96,2.8,1.75,31.9,31.31,10.09,0.54,2.22,350.34
98,Guatemala,4.85,16.45,5.6,0.23,1.08,14.61,46.6,35.9,5.66,0.32,2.0,314.99
99,Uganda,3.37,1.51,5.15,1.25,12.5,0.97,37.27,10.14,4.64,0.01,3.77,304.73
100,Nepal,0.67,1.56,7.89,2.1,2.17,1.42,52.1,50.46,87.75,0.01,2.42,526.24
101,Iran,0.0,25.38,3.58,3.69,9.8,7.7,46.69,153.31,29.95,0.0,12.16,445.27
102,Tanzania,0.32,1.84,6.09,1.28,5.5,0.58,40.29,15.94,21.01,0.04,5.94,343.02
103,Senegal,0.94,4.62,5.85,3.19,22.94,1.63,16.86,37.32,72.29,0.0,4.03,469.42
104,Peru,3.85,11.72,4.69,1.0,15.74,8.76,62.15,56.12,48.92,1.59,0.65,402.84000000000003
105,Nicaragua,3.38,21.31,4.73,0.01,3.59,4.9,85.16,28.17,43.33,0.01,2.36,377.7
106,Vietnam,35.0,12.36,7.44,0.14,26.52,3.84,16.36,10.49,144.56,5.75,6.28,641.52
107,Ethiopia,0.02,0.66,3.61,1.57,0.24,0.36,44.14,31.26,2.25,0.45,1.21,241.92000000000002
108,Myanmar,11.31,21.87,4.94,0.89,54.26,6.45,31.48,6.22,132.8,0.38,4.5,563.8
109,Congo,2.39,13.02,4.35,0.4,26.22,0.6,10.69,40.07,16.51,0.0,3.08,262.55
110,Zambia,1.66,3.29,4.76,0.68,6.2,3.32,9.71,12.1,3.05,7.3,5.04,225.31
111,Cameroon,1.47,3.29,4.17,1.4,14.71,0.4,15.27,22.6,23.85,0.64,9.29,283.61
112,Madagascar,2.56,3.14,7.51,0.57,4.41,0.71,24.84,9.01,102.53,0.0,0.35,440.76
113,Malawi,5.45,1.38,2.35,2.07,7.33,1.08,7.98,11.77,4.75,1.76,5.08,207.95
114,Guinea,0.16,1.83,6.26,1.6,9.18,1.95,20.62,18.55,97.12,0.0,4.14,432.70000000000005
115,Nigeria,1.47,1.73,2.33,2.72,16.03,3.46,7.91,20.82,28.23,2.6,6.93,267.78
116,Rwanda,0.76,1.34,2.53,1.93,3.88,0.16,7.23,11.34,8.7,1.93,0.58,181.62
117,Philippines,18.4,11.91,4.06,0.56,28.51,4.02,15.66,23.12,119.44,0.03,2.08,455.28
118,Ghana,1.36,8.63,1.09,1.74,26.05,1.21,9.08,14.45,32.03,0.01,5.56,217.88
119,Togo,1.57,6.63,1.53,1.58,11.69,0.86,7.96,12.91,25.99,0.01,3.59,188.10000000000002
120,Gambia,0.18,2.66,2.16,0.71,23.13,0.99,45.71,37.91,61.84,0.0,5.27,293.65
121,India,0.28,1.88,0.81,0.58,4.71,2.58,84.5,60.56,69.49,0.39,1.92,282.62
122,Thailand,13.0,13.69,2.56,0.05,19.45,12.35,29.35,10.93,114.57,2.13,1.5,377.98
123,Mozambique,5.13,1.41,1.04,0.9,7.74,1.7,4.79,14.65,23.41,0.03,2.61,141.41
124,Cambodia,6.52,1.84,4.85,0.0,39.59,1.37,3.47,2.74,159.1,4.33,1.25,452.40999999999997
125,Sierra Leone,1.22,4.97,1.99,0.65,32.03,1.92,7.0,8.72,103.3,0.0,5.57,300.40999999999997
126,Sri Lanka,0.05,4.96,1.38,0.09,24.92,4.57,34.98,37.01,109.72,0.0,1.09,294.45000000000005
127,Indonesia,2.98,7.5,2.59,0.46,25.65,4.88,14.82,25.45,134.62,1.12,4.92,367.52
128,Liberia,4.01,8.91,0.78,0.48,4.13,2.05,3.04,10.95,94.75,0.63,1.31,203.39
129,Bangladesh,0.0,1.4,1.28,1.33,18.07,2.08,21.91,17.47,171.73,0.61,0.72,374.19
